,temperature,performance,internet,size,set,range,sparsity,multiply,time
75,20,5.6,0,50,1,10,0.8,0,0.18463397026062
76,20,5.6,0,50,1,10,0.8,1,3.50475311279297E-05
77,20,5.6,0,50,1,100000,0.2,0,0.18540096282959
78,20,5.6,0,50,1,100000,0.2,1,3.07559967041016E-05
79,20,5.6,0,50,1,100000,0.8,0,0.179577350616455
80,20,5.6,0,50,1,100000,0.8,1,5.93662261962891E-05
81,20,5.6,0,150,0,10,0.2,0,5.47662162780762
82,20,5.6,0,150,0,10,0.2,1,0.008077383041382
83,20,5.6,0,150,0,10,0.8,0,5.32622051239014
84,20,5.6,0,150,0,10,0.8,1,0.007544040679932
85,20,5.6,0,150,0,100000,0.2,0,5.13463187217712
86,20,5.6,0,150,0,100000,0.2,1,0.007647275924683
87,20,5.6,0,150,0,100000,0.8,0,5.25032186508179
88,20,5.6,0,150,0,100000,0.8,1,0.007328987121582
89,20,5.6,0,150,1,10,0.2,0,4.52325987815857
90,20,5.6,0,150,1,10,0.2,1,0.000472545623779
91,20,5.6,0,150,1,10,0.8,0,4.32658648490906
92,20,5.6,0,150,1,10,0.8,1,0.000481128692627
93,20,5.6,0,150,1,100000,0.2,0,4.29132080078125
94,20,5.6,0,150,1,100000,0.2,1,0.00051212310791
95,20,5.6,0,150,1,100000,0.8,0,4.27912569046021
96,20,5.6,0,150,1,100000,0.8,1,0.002872943878174
97,20,5.6,1,50,0,10,0.2,0,0.155463457107544
98,20,5.6,1,50,0,10,0.2,1,0.000216960906982
99,20,5.6,1,50,0,10,0.8,0,0.180602788925171
100,20,5.6,1,50,0,10,0.8,1,0.000457286834717
101,20,5.6,1,50,0,100000,0.2,0,0.145811080932617
102,20,5.6,1,50,0,100000,0.2,1,0.000206232070923
103,20,5.6,1,50,0,100000,0.8,0,0.143412113189697
104,20,5.6,1,50,0,100000,0.8,1,0.000198841094971
105,20,5.6,1,50,1,10,0.2,0,0.125231742858887
106,20,5.6,1,50,1,10,0.2,1,2.40802764892578E-05
107,20,5.6,1,50,1,10,0.8,0,0.128117322921753
108,20,5.6,1,50,1,10,0.8,1,2.43186950683594E-05
109,20,5.6,1,50,1,100000,0.2,0,0.129427909851074
110,20,5.6,1,50,1,100000,0.2,1,2.64644622802734E-05
111,20,5.6,1,50,1,100000,0.8,0,0.128374338150024
112,20,5.6,1,50,1,100000,0.8,1,2.6702880859375E-05
113,20,5.6,1,150,0,10,0.2,0,4.4141731262207
114,20,5.6,1,150,0,10,0.2,1,0.005589723587036
115,20,5.6,1,150,0,10,0.8,0,4.19682669639587
116,20,5.6,1,150,0,10,0.8,1,0.005427360534668
117,20,5.6,1,150,0,100000,0.2,0,3.15500140190125
118,20,5.6,1,150,0,100000,0.2,1,0.004661321640015
119,20,5.6,1,150,0,100000,0.8,0,3.60995578765869
120,20,5.6,1,150,0,100000,0.8,1,0.005296468734741
121,20,5.6,1,150,1,10,0.2,0,3.4536337852478
122,20,5.6,1,150,1,10,0.2,1,0.000514268875122
123,20,5.6,1,150,1,10,0.8,0,3.75676536560059
124,20,5.6,1,150,1,10,0.8,1,0.000687837600708
125,20,5.6,1,150,1,100000,0.2,0,3.79160284996033
126,20,5.6,1,150,1,100000,0.2,1,0.000426054000854
127,20,5.6,1,150,1,100000,0.8,0,4.02815127372742
128,20,5.6,1,150,1,100000,0.8,1,0.000374794006348
129,30,3.5,0,50,0,10,0.2,0,0.106423854827881
130,30,3.5,0,50,0,10,0.2,1,0.000160217285156
131,30,3.5,0,50,0,10,0.8,0,0.106462240219116
132,30,3.5,0,50,0,10,0.8,1,0.000161647796631
133,30,3.5,0,50,0,100000,0.2,0,0.105389356613159
134,30,3.5,0,50,0,100000,0.2,1,0.000159978866577
135,30,3.5,0,50,0,100000,0.8,0,0.104430437088013
136,30,3.5,0,50,0,100000,0.8,1,0.000160217285156
137,30,3.5,0,50,1,10,0.2,0,0.093993663787842
